Date,Actual Temperature,Forecasted Temperature (MSE)
2021-09-04,28.9,28.902992553628806
2021-09-05,28.8,28.81029925536288
2021-09-06,27.1,27.27102992553629
2021-09-07,25.4,25.58710299255363
2021-09-08,23.3,23.528710299255366
2021-09-09,23.4,23.412871029925533
2021-09-10,27.2,26.821287102992553
2021-09-11,27.5,27.432128710299253
2021-09-12,27.3,27.313212871029926
2021-09-13,28.6,28.471321287102995
2021-09-14,29.7,29.5771321287103
2021-09-15,30.7,30.58771321287103
2021-09-16,30.7,30.688771321287103
2021-09-17,30.9,30.878877132128707
2021-09-18,37.0,36.387887713212876
2021-09-19,35.0,35.13878877132129
2021-09-20,35.4,35.37387887713213
2021-09-21,31.9,32.24738788771322
2021-09-22,26.8,27.344738788771323
2021-09-23,21.1,21.724473878877134
2021-09-24,24.0,23.772447387887716
2021-09-25,28.4,27.93724473878877
2021-09-26,29.2,29.073724473878876
2021-09-27,30.4,30.267372447387885
2021-09-28,28.5,28.67673724473879
2021-09-29,25.4,25.727673724473878
2021-09-30,23.6,23.81276737244739
2021-10-01,22.0,22.18127673724474
2021-10-02,21.2,21.298127673724473
2021-10-03,22.7,22.559812767372446
2021-10-04,24.0,23.855981276737246
2021-10-05,24.3,24.255598127673725
2021-10-06,23.1,23.215559812767374
2021-10-07,24.2,24.10155598127674
2021-10-08,21.4,21.67015559812767
2021-10-09,23.9,23.677015559812766
2021-10-10,22.6,22.70770155598128
2021-10-11,25.7,25.400770155598128
2021-10-12,20.5,20.990077015559812
2021-10-13,22.5,22.34900770155598
2021-10-14,19.7,19.964900770155598
2021-10-15,22.6,22.33649007701556
2021-10-16,22.1,22.123649007701555
2021-10-17,20.6,20.752364900770157
2021-10-18,20.9,20.885236490077013
2021-10-19,20.4,20.4485236490077
2021-10-20,20.3,20.31485236490077
2021-10-21,21.7,21.56148523649008
2021-10-22,24.7,24.38614852364901
2021-10-23,25.9,25.7486148523649
2021-10-24,22.5,22.82486148523649
2021-10-25,16.7,17.312486148523647
2021-10-26,18.3,18.201248614852368
2021-10-27,19.0,18.920124861485238
2021-10-28,18.4,18.452012486148522
2021-10-29,18.4,18.40520124861485
2021-10-30,18.5,18.490520124861487
2021-10-31,18.3,18.31905201248615
2021-11-01,19.8,19.651905201248614
2021-11-02,21.5,21.31519052012486
2021-11-03,24.1,23.821519052012487
2021-11-04,23.6,23.62215190520125
2021-11-05,24.0,23.962215190520126
2021-11-06,23.1,23.186221519052015
2021-11-07,22.8,22.8386221519052
2021-11-08,21.5,21.633862215190522
2021-11-09,19.9,20.07338622151905
2021-11-10,18.2,18.387338622151905
2021-11-11,16.0,16.23873386221519
2021-11-12,18.1,17.91387338622152
2021-11-13,17.8,17.81138733862215
2021-11-14,17.9,17.891138733862213
2021-11-15,17.9,17.89911387338622
2021-11-16,17.1,17.179911387338624
2021-11-17,15.1,15.307991138733861
2021-11-18,17.8,17.550799113873385
2021-11-19,14.0,14.355079911387337
2021-11-20,15.6,15.475507991138732
2021-11-21,19.0,18.647550799113873
2021-11-22,19.8,19.684755079911387
2021-11-23,19.8,19.788475507991137
2021-11-24,15.0,15.478847550799113
2021-11-25,14.9,14.957884755079911
2021-11-26,17.3,17.06578847550799
2021-11-27,20.1,19.7965788475508
2021-11-28,20.3,20.24965788475508
2021-11-29,21.3,21.19496578847551
2021-11-30,16.5,16.96949657884755
2021-12-01,16.1,16.186949657884757
2021-12-02,17.2,17.098694965788475
2021-12-03,19.2,18.989869496578848
2021-12-04,17.4,17.558986949657882
2021-12-05,17.5,17.505898694965786
2021-12-06,19.1,18.94058986949658
2021-12-07,15.0,15.394058986949657
2021-12-08,15.0,15.039405898694966
2021-12-09,18.7,18.333940589869496
2021-12-10,17.4,17.493394058986947
2021-12-11,17.0,17.049339405898696
2021-12-12,17.7,17.634933940589868
2021-12-13,14.9,15.173493394058987
2021-12-14,9.3,9.8873493394059
2021-12-15,10.0,9.98873493394059
2021-12-16,11.9,11.70887349339406
2021-12-17,12.0,11.970887349339407
2021-12-18,9.9,10.10708873493394
2021-12-19,8.0,8.210708873493394
2021-12-20,14.1,13.511070887349339
2021-12-21,10.3,10.621107088734934
2021-12-22,10.6,10.602110708873493
2021-12-23,10.4,10.420211070887351
2021-12-24,14.4,14.002021107088735
2021-12-25,16.0,15.800202110708874
2021-12-26,18.1,17.87002021107089
2021-12-27,17.5,17.53700202110709
2021-12-28,16.5,16.60370020211071
2021-12-29,15.3,15.430370020211072
2021-12-30,13.1,13.333037002021106
2021-12-31,14.4,14.293303700202111
