Date,Actual Temperature,Forecasted Temperature (MAD)
2022-03-31,17.5,17.60101907418695
2022-04-01,22.4,21.920101907418694
2022-04-02,21.4,21.452010190741866
2022-04-03,19.0,19.245201019074187
2022-04-04,18.9,18.934520101907417
2022-04-05,18.4,18.45345201019074
2022-04-06,19.0,18.945345201019077
2022-04-07,22.5,22.144534520101907
2022-04-08,24.5,24.26445345201019
2022-04-09,23.0,23.126445345201017
2022-04-10,22.0,22.1126445345201
2022-04-11,16.9,17.421264453452007
2022-04-12,17.6,17.582126445345203
2022-04-13,18.4,18.31821264453452
2022-04-14,19.4,19.291821264453453
2022-04-15,21.0,20.829182126445346
2022-04-16,22.1,21.972918212644537
2022-04-17,16.3,16.867291821264455
2022-04-18,13.2,13.566729182126444
2022-04-19,15.3,15.126672918212645
2022-04-20,18.3,17.982667291821265
2022-04-21,20.7,20.428266729182127
2022-04-22,22.5,22.292826672918213
2022-04-23,24.0,23.82928266729182
2022-04-24,25.0,24.88292826672918
2022-04-25,27.0,26.78829282667292
2022-04-26,25.7,25.80882928266729
2022-04-27,25.6,25.62088292826673
2022-04-28,27.8,27.582088292826672
2022-04-29,21.6,22.198208829282667
2022-04-30,22.4,22.379820882928264
2022-05-01,21.6,21.67798208829283
2022-05-02,16.8,17.287798208829283
2022-05-03,19.0,18.82877982088293
2022-05-04,19.4,19.342877982088293
2022-05-05,23.5,23.08428779820883
2022-05-06,21.5,21.658428779820884
2022-05-07,21.4,21.425842877982085
2022-05-08,21.2,21.222584287798206
2022-05-09,23.9,23.632258428779817
2022-05-10,23.4,23.42322584287798
2022-05-11,25.4,25.202322584287796
2022-05-12,26.5,26.37023225842878
2022-05-13,26.0,26.03702322584288
2022-05-14,25.1,25.19370232258429
2022-05-15,28.0,27.719370232258427
2022-05-16,28.6,28.511937023225844
2022-05-17,28.6,28.591193702322585
2022-05-18,29.5,29.409119370232258
2022-05-19,19.9,20.850911937023227
2022-05-20,22.9,22.69509119370232
2022-05-21,27.5,27.01950911937023
2022-05-22,29.0,28.801950911937023
2022-05-23,30.0,29.880195091193702
2022-05-24,30.0,29.98801950911937
2022-05-25,30.0,29.998801950911936
2022-05-26,32.5,32.249880195091194
2022-05-27,31.1,31.21498801950912
2022-05-28,32.4,32.28149880195091
2022-05-29,30.1,30.318149880195094
2022-05-30,29.5,29.58181498801951
2022-05-31,31.2,31.038181498801947
2022-06-01,31.4,31.363818149880192
2022-06-02,32.4,32.29638181498802
2022-06-03,32.0,32.029638181498804
2022-06-04,32.1,32.09296381814988
2022-06-05,33.9,33.719296381814985
2022-06-06,33.5,33.5219296381815
2022-06-07,28.4,28.912192963818146
2022-06-08,28.2,28.271219296381812
2022-06-09,29.6,29.467121929638182
2022-06-10,28.0,28.146712192963818
2022-06-11,25.9,26.12467121929638
2022-06-12,28.3,28.08246712192964
2022-06-13,29.6,29.448246712192965
2022-06-14,31.4,31.204824671219292
2022-06-15,30.8,30.84048246712193
2022-06-16,30.8,30.804048246712195
2022-06-17,30.4,30.44040482467122
2022-06-18,29.9,29.95404048246712
2022-06-19,27.9,28.10540404824671
2022-06-20,29.4,29.270540404824672
2022-06-21,34.4,33.88705404048247
2022-06-22,35.5,35.33870540404825
2022-06-23,36.6,36.47387054040483
2022-06-24,31.3,31.817387054040484
2022-06-25,31.8,31.80173870540405
2022-06-26,31.9,31.890173870540405
2022-06-27,31.9,31.89901738705404
2022-06-28,32.9,32.7999017387054
2022-06-29,32.4,32.43999017387054
2022-06-30,33.5,33.39399901738705
2022-07-01,33.9,33.8493999017387
2022-07-02,34.0,33.98493999017387
2022-07-03,31.4,31.658493999017384
2022-07-04,31.9,31.87584939990174
2022-07-05,32.5,32.437584939990174
2022-07-06,32.4,32.403758493999014
2022-07-07,32.9,32.8503758493999
2022-07-08,31.9,31.99503758493999
2022-07-09,28.0,28.399503758494
2022-07-10,29.4,29.2999503758494
2022-07-11,29.8,29.749995037584938
2022-07-12,30.7,30.604999503758492
2022-07-13,28.4,28.620499950375848
2022-07-14,29.9,29.772049995037584
2022-07-15,32.2,31.957204999503762
2022-07-16,35.8,35.415720499950375
2022-07-17,34.9,34.951572049995036
2022-07-18,31.4,31.755157204999502
2022-07-19,28.4,28.735515720499947
2022-07-20,29.4,29.333551572049995
2022-07-21,33.4,32.993355157204995
2022-07-22,35.4,35.1593355157205
2022-07-23,36.4,36.275933551572045
2022-07-24,37.9,37.7375933551572
2022-07-25,34.5,34.82375933551572
2022-07-26,34.9,34.89237593355157
2022-07-27,36.4,36.249237593355154
2022-07-28,33.6,33.86492375933552
2022-07-29,33.0,33.08649237593355
2022-07-30,34.4,34.26864923759336
2022-07-31,34.1,34.11686492375934
2022-08-01,32.6,32.75168649237594
2022-08-02,32.6,32.615168649237596
2022-08-03,31.9,31.97151686492376
2022-08-04,32.5,32.447151686492376
2022-08-05,32.9,32.854715168649236
2022-08-06,33.4,33.34547151686492
2022-08-07,32.0,32.13454715168649
2022-08-08,31.9,31.92345471516865
2022-08-09,33.4,33.25234547151686
2022-08-10,32.9,32.93523454715169
2022-08-11,31.9,32.00352345471517
2022-08-12,32.4,32.36035234547152
2022-08-13,30.5,30.686035234547152
2022-08-14,32.9,32.67860352345471
2022-08-15,30.8,30.98786035234547
2022-08-16,33.0,32.79878603523454
2022-08-17,34.4,34.23987860352345
2022-08-18,35.9,35.73398786035234
2022-08-19,37.0,36.87339878603524
2022-08-20,35.5,35.63733987860352
2022-08-21,32.0,32.36373398786035
2022-08-22,31.4,31.496373398786034
2022-08-23,29.3,29.519637339878603
2022-08-24,26.9,27.16196373398786
2022-08-25,27.2,27.196196373398784
2022-08-26,28.9,28.729619637339876
2022-08-27,30.5,30.322961963733988
2022-08-28,31.9,31.7422961963734
2022-08-29,33.5,33.32422961963734
2022-08-30,33.0,33.03242296196373
2022-08-31,32.0,32.10324229619637
2022-09-01,31.0,31.11032422961964
2022-09-02,31.5,31.461032422961964
2022-09-03,30.0,30.146103242296196
2022-09-04,31.7,31.54461032422962
2022-09-05,27.3,27.724461032422962
2022-09-06,26.6,26.712446103242296
2022-09-07,27.4,27.33124461032423
2022-09-08,29.4,29.193124461032422
2022-09-09,31.5,31.269312446103243
2022-09-10,33.1,32.916931244610325
2022-09-11,33.6,33.531693124461036
2022-09-12,29.5,29.903169312446103
2022-09-13,28.6,28.730316931244612
2022-09-14,28.5,28.523031693124462
2022-09-15,31.1,30.842303169312448
2022-09-16,31.7,31.614230316931245
2022-09-17,32.5,32.411423031693126
2022-09-18,32.5,32.49114230316931
2022-09-19,27.6,28.089114230316934
2022-09-20,26.9,27.018911423031692
2022-09-21,25.5,25.651891142303167
2022-09-22,20.9,21.375189114230317
2022-09-23,22.5,22.38751891142303
2022-09-24,24.1,23.928751891142305
2022-09-25,25.8,25.612875189114234
2022-09-26,26.6,26.501287518911425
2022-09-27,25.5,25.60012875189114
2022-09-28,29.3,28.930012875189114
2022-09-29,29.1,29.08300128751891
2022-09-30,29.7,29.63830012875189
2022-10-01,31.0,30.86383001287519
2022-10-02,30.0,30.08638300128752
2022-10-03,27.0,27.308638300128752
2022-10-04,23.5,23.880863830012878
2022-10-05,22.4,22.548086383001287
2022-10-06,22.5,22.504808638300126
2022-10-07,22.9,22.860480863830013
2022-10-08,24.4,24.246048086383002
2022-10-09,25.5,25.3746048086383
2022-10-10,25.4,25.397460480863828
2022-10-11,23.9,24.04974604808638
2022-10-12,23.9,23.914974604808634
2022-10-13,23.9,23.90149746048086
2022-10-14,20.0,20.390149746048085
2022-10-15,18.5,18.68901497460481
2022-10-16,20.4,20.22890149746048
2022-10-17,20.4,20.382890149746046
2022-10-18,20.4,20.398289014974605
2022-10-19,22.9,22.64982890149746
2022-10-20,23.4,23.324982890149744
2022-10-21,20.5,20.782498289014974
2022-10-22,21.9,21.7882498289015
2022-10-23,25.0,24.67882498289015
2022-10-24,26.8,26.587882498289016
2022-10-25,27.0,26.958788249828903
2022-10-26,25.8,25.91587882498289
2022-10-27,25.4,25.451587882498288
2022-10-28,22.0,22.34515878824983
2022-10-29,21.4,21.49451587882498
2022-10-30,22.4,22.3094515878825
2022-10-31,24.8,24.55094515878825
2022-11-01,23.4,23.515094515878822
2022-11-02,26.0,25.751509451587886
