Date,Actual Temperature,Forecasted Temperature (MAD)
2022-07-22,35.4,35.54548444536519
2022-07-23,36.4,36.7632998797384
2022-07-24,37.9,38.33738443399927
2022-07-25,34.5,35.089428290365426
2022-07-26,34.9,35.107584129869146
2022-07-27,36.4,36.5757171421313
2022-07-28,33.6,33.9347159005657
2022-07-29,33.0,33.04649134535822
2022-07-30,34.4,34.33948466875524
2022-07-31,34.1,34.17723038090697
2022-08-01,32.6,32.66905421784052
2022-08-02,32.6,32.51202172192823
2022-08-03,31.9,31.811236517363454
2022-08-04,32.5,32.343146710344264
2022-08-05,32.9,32.80645452571136
2022-08-06,33.4,33.35620439993404
2022-08-07,32.0,32.02912099136225
2022-08-08,31.9,31.79479176128247
2022-08-09,33.4,33.26582757975906
2022-08-10,32.9,32.93000667942841
2022-08-11,31.9,31.903723988246792
2022-08-12,32.4,32.29576056018642
2022-08-13,30.5,30.4633457669636
2022-08-14,32.9,32.659403168614595
2022-08-15,30.8,30.821662623604386
2022-08-16,33.0,32.813938932978964
2022-08-17,34.4,34.41591205994832
2022-08-18,35.9,36.05967728724991
2022-08-19,37.0,37.29868285412758
2022-08-20,35.5,35.91070195394386
2022-08-21,32.0,32.269940688070534
2022-08-22,31.4,31.287569899556853
2022-08-23,29.3,29.120451529745374
2022-08-24,26.9,26.543899055087138
2022-08-25,27.2,26.615292892663472
2022-08-26,28.9,28.358055916081394
2022-08-27,30.5,30.16510718597586
2022-08-28,31.9,31.761952666227483
2022-08-29,33.5,33.51806147429217
2022-08-30,33.0,33.19704682241235
2022-08-31,32.0,32.15721114320725
2022-09-01,31.0,31.04907857239809
2022-09-02,31.5,31.428848243801344
2022-09-03,30.0,29.988228868999546
2022-09-04,31.7,31.528226333309412
2022-09-05,27.3,27.34168570974255
2022-09-06,26.6,26.226279933509034
2022-09-07,27.4,26.94037416186987
2022-09-08,29.4,29.033149910137666
2022-09-09,31.5,31.354443993052055
2022-09-10,33.1,33.18367344196881
2022-09-11,33.6,33.85406577708329
2022-09-12,29.5,29.83923909065724
2022-09-13,28.6,28.516224903855488
2022-09-14,28.5,28.29246324382832
2022-09-15,31.1,30.86276538588105
2022-09-16,31.7,31.735146715357033
2022-09-17,32.5,32.61122164392249
2022-09-18,32.5,32.68881918882602
2022-09-19,27.6,27.828585216322033
2022-09-20,26.9,26.62898914960265
2022-09-21,25.5,25.14742051946647
2022-09-22,20.9,20.476995809700867
2022-09-23,22.5,21.63202371585123
2022-09-24,24.1,23.409644372039658
2022-09-25,25.8,25.332538444174933
2022-09-26,26.6,26.358899391412713
2022-09-27,25.5,25.39423454090935
2022-09-28,29.3,29.06928694717717
2022-09-29,29.1,29.25955636255801
2022-09-30,29.7,29.85822323146587
2022-10-01,31.0,31.19084982752473
2022-10-02,30.0,30.31693600265339
2022-10-03,27.0,27.23102037992745
2022-10-04,23.5,23.436636983461387
2022-10-05,22.4,21.97390131530325
2022-10-06,22.5,21.96497663011015
2022-10-07,22.9,22.408236264880923
2022-10-08,24.4,23.981820964518718
2022-10-09,25.5,25.265815547675814
2022-10-10,25.4,25.3162916067007
2022-10-11,23.9,23.84387296800012
2022-10-12,23.9,23.70168253701005
2022-10-13,23.9,23.705312065580138
2022-10-14,20.0,19.86219693253494
2022-10-15,18.5,18.005287695302275
2022-10-16,20.4,19.745120879001803
2022-10-17,20.4,19.978043318261594
2022-10-18,20.4,20.03931166354403
2022-10-19,22.9,22.55290044835331
2022-10-20,23.4,23.330498286482438
2022-10-21,20.5,20.543513224511933
2022-10-22,21.9,21.64689852810881
2022-10-23,25.0,24.849016190938706
2022-10-24,26.8,26.964816500037212
2022-10-25,27.0,27.359563045943716
2022-10-26,25.8,26.17867702639943
2022-10-27,25.4,25.63050749206905
2022-10-28,22.0,22.1889448643498
2022-10-29,21.4,21.23378356378639
2022-10-30,22.4,22.143226912989274
2022-10-31,24.8,24.633280825740528
2022-11-01,23.4,23.511290942699002
2022-11-02,26.0,25.963075769551946
2022-11-03,26.5,26.706577432977564
2022-11-04,24.9,25.178335630352144
2022-11-05,23.0,23.119461243357907
2022-11-06,19.5,19.437822292756273
2022-11-07,20.4,19.966254391348045
2022-11-08,20.5,20.157134705985897
2022-11-09,20.5,20.20708061391095
2022-11-10,20.4,20.13943794945147
2022-11-11,20.7,20.45312426755489
2022-11-12,16.3,16.150711715285293
2022-11-13,19.5,18.90190640568266
2022-11-14,18.9,18.63685429821095
2022-11-15,18.4,18.139032200624793
2022-11-16,21.5,21.18173709280995
2022-11-17,21.6,21.613651243675573
2022-11-18,23.0,23.04161404683133
2022-11-19,25.5,25.655665062932087
2022-11-20,22.0,22.438060308878278
2022-11-21,21.5,21.58187440567385
2022-11-22,20.0,20.003887118842762
2022-11-23,19.4,19.251738549463806
2022-11-24,19.0,18.793867223074166
2022-11-25,16.5,16.29163204035853
2022-11-26,15.5,15.070161638454696
2022-11-27,15.2,14.689700050803388
2022-11-28,14.1,13.608580887465953
2022-11-29,13.6,13.049696691260273
2022-11-30,13.3,12.746335569426282
2022-12-01,19.5,18.90382925599452
2022-12-02,17.8,17.890233991611833
2022-12-03,19.0,18.968753405928503
2022-12-04,16.3,16.406417540826602
2022-12-05,15.9,15.744606375642018
2022-12-06,15.7,15.494410685315776
2022-12-07,17.4,17.17089415460473
2022-12-08,18.7,18.646162027619198
2022-12-09,19.6,19.689534232434923
2022-12-10,19.0,19.191813371997352
2022-12-11,20.4,20.51077808247383
2022-12-12,18.9,19.14770452609883
2022-12-13,17.3,17.40510376311244
2022-12-14,14.4,14.350384348133682
2022-12-15,21.1,20.682377815303777
2022-12-16,21.8,22.046163158643445
2022-12-17,21.0,21.368387008699504
2022-12-18,19.5,19.782454562922155
2022-12-19,14.5,14.648440407681422
2022-12-20,11.2,10.854679355466022
2022-12-21,12.4,11.694382108252539
2022-12-22,13.4,12.831857993788462
2022-12-23,15.0,14.580738362901092
2022-12-24,16.1,15.88235994715126
2022-12-25,18.0,17.913109710332662
2022-12-26,17.6,17.728004812720865
2022-12-27,18.5,18.588973889814806
2022-12-28,17.3,17.479063147440865
2022-12-29,16.7,16.757956389933796
2022-12-30,17.3,17.274629639089046
2022-12-31,16.9,16.932580296486556
