datetime,tempmax,Forecast
2021-03-05,19.9,19.065102789257207
2021-03-06,19.2,18.653378183734965
2021-03-07,12.9,13.70458348294219
2021-03-08,16.0,16.265408405094714
2021-03-09,16.9,16.846353526614134
2021-03-10,19.5,18.88444445953798
2021-03-11,15.0,15.295042722662181
2021-03-12,14.4,14.931077312187291
2021-03-13,17.9,17.768282362528325
2021-03-14,17.0,16.955059060278003
2021-03-15,17.5,17.21869189270592
2021-03-16,16.0,15.955777096154838
2021-03-17,16.0,15.971757159611915
2021-03-18,15.8,15.871259384991477
2021-03-19,17.3,17.089640944416168
2021-03-20,16.1,16.062601299788508
2021-03-21,16.2,16.174036083063488
2021-03-22,19.9,18.981502025008588
2021-03-23,12.8,13.410740850480721
2021-03-24,12.4,13.135906997602776
2021-03-25,9.2,10.387355839675255
2021-03-26,13.8,14.295800581123121
2021-03-27,16.4,16.314309320458054
2021-03-28,19.0,18.397515146066915
2021-03-29,20.9,19.911696381919494
2021-03-30,17.0,17.124550420701688
2021-03-31,11.6,12.56443683073013
2021-04-01,13.0,13.700902126778507
2021-04-02,19.8,19.158074175402625
2021-04-03,22.0,20.793070188713717
2021-04-04,21.8,20.821500141648258
2021-04-05,19.0,18.762113377468815
2021-04-06,20.7,20.328889809220783
2021-04-07,22.5,21.839626307315726
2021-04-08,17.6,17.829598280774967
2021-04-09,12.9,13.832072746076433
2021-04-10,15.6,15.988342018176679
2021-04-11,17.5,17.68589505105022
2021-04-12,19.7,19.457953820238792
2021-04-13,21.2,20.54352815958456
2021-04-14,21.2,20.438770288264628
2021-04-15,19.7,19.239144661690492
2021-04-16,18.3,18.189869054546413
2021-04-17,20.3,19.875003009224052
2021-04-18,18.4,18.425129091210845
2021-04-19,22.0,21.187470020453464
2021-04-20,20.9,20.463541551980523
2021-04-21,21.0,20.481051523483938
2021-04-22,22.3,21.661906554056632
2021-04-23,23.5,22.908037640144524
2021-04-24,16.7,17.60514114605007
2021-04-25,17.4,18.228947815394207
2021-04-26,20.9,21.012498902910036
2021-04-27,21.9,21.875999611815
2021-04-28,24.7,24.133747181664678
2021-04-29,24.1,24.00678265292605
2021-04-30,26.9,26.285787746038885
2021-05-01,28.7,27.883126085329923
2021-05-02,27.6,27.175829699129096
2021-05-03,31.4,30.105201013518272
2021-05-04,27.1,26.98267544015691
2021-05-05,26.6,26.692326166130258
2021-05-06,26.9,27.23875877269266
2021-05-07,27.5,27.809408320017578
2021-05-08,28.7,28.585103908864024
2021-05-09,23.3,24.150269638952338
2021-05-10,23.3,24.047925804639405
2021-05-11,25.4,26.016038672281447
2021-05-12,24.8,25.512474182871756
2021-05-13,27.0,27.118703001054772
2021-05-14,27.3,27.14143136944125
2021-05-15,23.4,23.854004601883016
2021-05-16,25.9,25.877107004625678
2021-05-17,27.1,26.95321987536097
2021-05-18,31.0,30.105637458762004
2021-05-19,28.1,27.769198063871148
2021-05-20,27.3,27.222345198307803
2021-05-21,23.5,23.9835505557839
2021-05-22,25.1,25.35180483695675
2021-05-23,28.1,28.010442218095328
2021-05-24,30.0,29.81487119472983
2021-05-25,32.2,31.767490286086094
2021-05-26,30.7,30.53457678443105
2021-05-27,29.2,29.417709380974763
2021-05-28,28.7,29.00244500042789
2021-05-29,25.7,26.80367138018545
2021-05-30,25.5,26.54461001271954
2021-05-31,26.2,27.10646193085473
2021-06-01,24.8,25.866075778196144
2021-06-02,24.6,25.449409891118272
2021-06-03,26.2,26.739756873430846
2021-06-04,26.6,27.02984352425219
2021-06-05,25.9,26.625660418789565
2021-06-06,28.2,28.465778950755034
2021-06-07,29.6,29.296476099363037
2021-06-08,28.0,27.93576961810033
2021-06-09,27.5,27.42616844124384
2021-06-10,28.0,28.086051133189876
2021-06-11,27.8,27.90000217005498
2021-06-12,26.2,26.38261783667747
2021-06-13,28.2,27.700664858943046
2021-06-14,24.5,24.590001154780843
2021-06-15,24.2,24.30941466567789
2021-06-16,28.2,27.550099510420296
2021-06-17,29.6,28.701635040004998
2021-06-18,29.5,28.532386213006582
2021-06-19,30.7,29.590862873537795
2021-06-20,30.9,29.66014087964989
2021-06-21,30.4,29.50882046925261
2021-06-22,31.4,30.665728649787393
