name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Corfu Greece,2021-01-11,19,13,16.4,19,13,16.4,13.4,82.8,2.048,100,12.5,rain,0,0,52.6,31.7,160.7,1010.4,94.5,8.5,49.7,4.2,3,,2021-01-11T08:00:39,2021-01-11T17:36:22,0.94,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"LGKR,LGIO,13625099999,16642099999,9V3932,16641099999"
Corfu Greece,2021-01-12,17,10,12.8,17,10,12.8,8.3,76,6.015,100,8.33,rain,0,0,44.3,31.7,291.1,1008.9,63.1,9.9,107.3,9.3,5,,2021-01-12T08:00:23,2021-01-12T17:37:24,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LGKR,LGIO,13625099999,16642099999,9V3932,16641099999"
Corfu Greece,2021-01-13,13,2,8.6,13,2,7.7,5.2,80,0.17,100,8.33,rain,0,0,59.4,24.1,276.7,1009.5,54.9,9.8,89.8,7.7,4,,2021-01-13T08:00:06,2021-01-13T17:38:28,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LGKR,LGIO,13625099999,16642099999,16641099999"
Corfu Greece,2021-01-14,16,2,9,16,-1.6,7.5,3.6,71.8,13.981,100,8.33,rain,0,0,62.6,27.7,297.9,1010.5,51,9.4,114.1,9.8,5,,2021-01-14T07:59:46,2021-01-14T17:39:32,0.04,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"LGKR,LGIO,13625099999,16642099999,16641099999"
Corfu Greece,2021-01-15,16,4,9.2,16,1.6,8.5,2.9,68.4,6.992,100,4.17,rain,0,0.1,36.4,25.9,294.7,1009.2,46.8,10,103.2,8.8,5,,2021-01-15T07:59:24,2021-01-15T17:40:37,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LGKR,LGIO,13625099999,16642099999,16641099999"
Corfu Greece,2021-01-16,11,0,7.6,11,-2.6,5.8,-0.5,59.5,3.001,100,8.33,rain,0,0.1,44.6,29.5,330.5,1009.1,61.2,10,104.6,9,4,,2021-01-16T07:59:00,2021-01-16T17:41:43,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LGKR,LGIO,13625099999,16642099999,remote,16641099999"
Corfu Greece,2021-01-17,9,-5,3.7,7.9,-5,2,-6.5,48.1,0,0,0,,0,0,34.9,25.9,292.3,1014.8,42.4,10,102.2,8.7,5,,2021-01-17T07:58:33,2021-01-17T17:42:50,0.13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"LGKR,LGIO,13625099999,16642099999,9V3932,16641099999"
Corfu Greece,2021-01-18,13,-2,5.3,13,-4,4.1,-3.7,55,0,0,0,,0,0,25.9,24.1,302.6,1016.9,53.4,10,125.7,10.8,5,,2021-01-18T07:58:05,2021-01-18T17:43:57,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGKR,LGIO,13625099999,16642099999,9V3932,16641099999"
Corfu Greece,2021-01-19,13,-7,4.8,13,-8.6,4.1,-3.5,60.6,0,0,0,,0,0,32.8,27.7,280.8,1023.7,11.9,10,127.1,11.1,5,,2021-01-19T07:57:35,2021-01-19T17:45:05,0.2,Clear,Clear conditions throughout the day.,clear-day,"LGKR,LGIO,13625099999,16642099999,16641099999"
Corfu Greece,2021-01-20,15,-5,6.4,15,-5,6.2,0.8,68.6,0,0,0,,0,0,28.1,16.5,114.7,1027.9,53.1,10,112.7,9.8,5,,2021-01-20T07:57:03,2021-01-20T17:46:14,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGKR,LGIO,13625099999,16642099999,16641099999"
